Lead ID	Job Title	Language	Valid JT	Job Role	Marketing Audience	Function	Seniority	Confidence Score
1	企画業務	ja	Yes	Business Planner				1
2	労働組合	ja	Yes	Human Resources Generalist	Human Resources DM	Human Resources	Senior	1
3	支援スタッフ	ja	Yes	Support Specialist				1
4	技術コンサルタント	ja	Yes	Information Technology Consultant				1
5	事業責任者	ja	Yes	Information Technology Manager				1
6	部付	ja	No					
7	社長付	ja	Yes	Principal				1
8	調査	ja	Yes	Research Development Researcher				1
9	設備保全	ja	Yes	Mechanic and Maintenance Tradesperson	Operations DM	Operations	Senior	1
10	行員	ja	Yes	Administrative Employee	Operations User	Operations	Entry	1
11	デスク	ja	No					
12	電気	ja	No					
13	非常勤	ja	No					
14	上席主幹	ja	Yes	Director of Administration				1
15	プロダクトマーケティング	ja	Yes	Marketing Specialist	Marketing User	Marketing	Entry	1
16	専門	ja	Yes	Information Technology Generalist				1
17	執行役員　部長	ja	Yes	Information Technology Manager				1
18	工事長	ja	Yes	Manager Positions				1
19	情報システム部　部長	ja	Yes	Information Technology Manager	Information Technology DM	Information Technology	Manager	1
20	事務系	ja	Yes	Administrative Employee	Operations User	Operations	Entry	1
21	統括マネージャ	ja	Yes	Director of Business Development				1
22	業務職	ja	Yes	Information Technology Generalist				1
23	業務執行役員	zh-Hant	Yes	Executive Director	Business Development CXO	Business Development	CXO	1
24	担当営業	ja	Yes	Sales Employee	Sales User	Sales	Entry	1
25	生産企画	ja	Yes	Business Planner				1
26	ジム	ja	No					
27	翻訳	ja	Yes	Language and Localization Specialist	Media and Communication User	Media and Communication	Entry	1
28	総合	ja	No					
29	システム構築	ja	Yes	System Architect				1
30	グループ長代理	ja	Yes	Information Technology Manager				1
31	主任スタッフ	ja	Yes	Information Technology Administrator				1
32	上級プロフェッショナル	ja	Yes	Information Technology Generalist				1
33	デジタルサポーター	ja	Yes	Information Technology Generalist				1
34	デジタル推進部	ja	Yes	Digital Media Specialist	Media and Communication User	Media and Communication	Entry	0.7
35	フロントエンジニア	ja	Yes	Frontend Engineer	Engineering User	Engineering	Entry	0.97
36	情報通信部	ja	No					
37	情報部門	ja	Yes	Information Technology Generalist				1
38	企画官	ja	Yes	Planning Manager	Program and Project Management DM	Program and Project Management	Manager	1
39	保険代理店	ja	Yes	Insurance Agent	Sales User	Sales	Entry	0.97
40	内部監査室	ja	Yes	Auditor	Accounting and Finance DM	Accounting and Finance	Senior	0.98
41	技術的職	ja	Yes	Information Technology Generalist				1
42	教官	zh-Hans	Yes	Information Technology Generalist				1
43	業務推進役	ja	Yes	Business Development Specialist				1
44	書記長	ja	Yes	Public Sector				1
45	業務管理部	ja	Yes	Administrative Employee				1
46	構築	ja	Yes	Construction Engineer	Engineering User	Engineering	Entry	1
47	研修講師	ja	Yes	Trainer	Human Resources DM	Human Resources	Senior	1
48	社内インフラ担当	ja	Yes	Infrastructure Engineer				0.92
49	経営基幹職	ja	Yes	Information Technology Manager				1
50	研修担当	ja	Yes	Trainer	Human Resources DM	Human Resources	Senior	1
51	評価	ja	No					
52	開発業務	ja	Yes	Developer				1
53	総務グループ	ja	Yes	Administrative Employee	Operations User	Operations	Entry	1
54	館長	zh-Hant	Yes	Art Curator	Other DM	Other	Senior	1
55	経営管理部長	ja	Yes	Information Manager				1
56	管理業務	ja	Yes	Information Technology Administrator				1
57	チーフ・リード	ja	Yes	Multimedia Specialist				1
58	rpaエンジニア	ja	Yes	Robotics Engineer	Engineering User	Engineering	Entry	1
59	システム開発者	ja	Yes	Developer	Developer User	Developer	Entry	1
60	シニアリサーチャー	ja	Yes	Research Development Researcher	Research DM	Research	Senior	1
61	マイスター	ja	Yes	Research Employee				1
62	デジタルイノベーション本部	ja	Yes	Information Technology Generalist				1
63	事業戦略	ja	Yes	Business Strategist				1
64	デジタル戦略部	ja	Yes	Director of Digital Services	Media and Communication DM	Media and Communication	Director	0.7
65	ファイナンス	ja	Yes	Finance Specialist	Accounting and Finance User	Accounting and Finance	Entry	1
66	仕事	ja	No					
67	人事労務	ja	Yes	Human Resources Specialist				1
68	医療職	ja	Yes	Healthcare Worker				1
69	参事官補佐	ja	Yes	Legal Practitioner				1
70	副工場長	ja	Yes	Manufacturing Manager	Supply and Logistics DM	Supply and Logistics	Manager	1
71	専門嘱託	ja	Yes	Information Technology Generalist				1
72	知財	ja	Yes	Intellectual Property Specialist	Legal User	Legal	Entry	1
73	技術課	ja	Yes	Information Technology Generalist				1
74	専門調査員	ja	Yes	Research Employee				1
75	執行役員　本部長	ja	Yes	Information Technology Manager				1
76	社印	zh-Hans	No					
77	資材	ja	Yes	Information Technology Generalist				1
78	調査研究	ja	Yes	Research Employee				1
79	経営管理本部	ja	Yes	Administrative Employee				1
80	社内システム管理者	ja	Yes	System Administrator	Information Technology DM	Information Technology	Senior	1
81	管理職	ja	Yes	Information Technology Administrator				1
82	開発企画	ja	Yes	Developer				1
83	カスタマエンジニア	ja	Yes	Customer Service Specialist	Customer Service and Support User	Customer Service and Support	Entry	1
84	資材調達	ja	Yes	Purchaser	Purchasing User	Purchasing	Entry	1
85	インフラソリューション部	ja	Yes	Information Technology Generalist				1
86	サポートセンター	ja	Yes	Support Specialist				1
87	サブリーダ	ja	Yes	Information Technology Manager				1
88	システムグループ	ja	No					
89	管理職(課長以下)	ja	Yes	Manager Positions	Business Development DM	Business Development	Manager	1
90	サポート業務	ja	Yes	Support Specialist				1
91	その他役員	ja	Yes	Information Technology Generalist				1
92	なしし	ja	No					
93	チーム員	ja	Yes	Research Employee				1
94	ソリューション開発	ja	Yes	Sales Engineer				1
95	デジタル推進室	ja	Yes	Information Technology Generalist				1
96	企画総務	ja	Yes	Business Planner				1
97	企画室	ja	Yes	Business Planner				1
98	人財育成	ja	Yes	Human Resources Specialist	Human Resources User	Human Resources	Entry	1
99	事務スタッフ	ja	Yes	Administrative Employee	Operations User	Operations	Entry	1
100	企画管理部	ja	Yes	Business Planner				1
101	所員	zh-Hans	No					
