Lead ID	Job Title	Language	Valid JT	Job Role	Marketing Audience	Function	Seniority	Confidence Score
2001	????? ????????????	ja	Yes	Managing Director	Business Development CXO	Business Development	CXO	1
2002	????? ?????? ???	ja	Yes	Managing Director	Business Development CXO	Business Development	CXO	1
2003	????? ? ?????	ja	Yes	Finance Manager	Accounting and Finance DM	Accounting and Finance	Manager	1
2004	???????????	ja	Yes	Sales Manager	Sales DM	Sales	Manager	1
2005	????? ????	ja	Yes	Executive				1
2006	????? ???	ja	Yes	Manufacturing Operations Manager				1
2007	????? ???	ja	Yes	Information Technology Manager				1
2008	????? ??	ja	Yes	Information Technology Manager				1
2009	??????	ja	Yes	Executive				1
2010	?????? CIO	ja	Yes	Chief Information Officer	Information Technology CXO	Information Technology	CXO	1
2011	?????? ICT?????	zh-Hant	Yes	Executive				0.98
2012	?????? SI?????	zh-Hant	Yes	Executive				1
2013	?????? SSS??????	zh-Hant	Yes	Executive				0.98
2014	?????? ?????????????	ja	Yes	Executive				1
2015	?????? ??????	ja	Yes	Executive				1
2016	?????? ???????????????????????	ja	Yes	Executive				1
2017	?????? ????????????????? ????????????	ja	Yes	Chief Information Officer	Information Technology CXO	Information Technology	CXO	1
2018	?????? ??????????????	ja	Yes	Innovation Manager				1
2019	?????? ????????????????	ja	Yes	Executive				1
2020	?????? ? ????????SE???	ja	Yes	Executive				1
2021	?????? ???? ? ICT???????? ? ????????????	ja	Yes	Digital Manager				0.99
2022	?????? ?????	ja	Yes	Technology Manager				1
2023	?????? ???????	zh-Hant	Yes	Executive	Business Development CXO	Business Development	CXO	0.85
2024	?????? ???	ja	Yes	Executive				1
2025	?????? ???????????	ja	Yes	Manager Positions	Business Development DM	Business Development	Manager	0.85
2026	?????? ????????????????	ja	Yes	Media Executive	Media and Communication CXO	Media and Communication	CXO	1
2027	?????? ?????????????	ja	Yes	Executive				1
2028	????	ja	Yes	Managing Director	Business Development CXO	Business Development	CXO	1
2029	????	ja	Yes	Executive Director	Business Development CXO	Business Development	CXO	1
2030	???? ??????	ja	Yes	Executive Director				1
2031	????	ja	Yes	University Professor	Education DM	Education	Senior	1
2032	??????	ja	Yes	Marketing Specialist				1
2033	???? ????? ?? ???	ja	Yes	Sales Manager	Sales DM	Sales	Manager	0.85
2034	???? ???? ?? ???	ja	Yes	Administrative Employee	Operations User	Operations	Entry	0.85
2035	??? EAM	ja	Yes	Administrative Employee				1
2036	???? ????? ???? ???	ja	Yes	Sales Manager	Sales DM	Sales	Manager	0.85
2037	?????????	ja	Yes	Consultant	Business Development DM	Business Development	Senior	1
2038	??	ja	Yes	Executive Assistant	Operations User	Operations	Entry	1
2039	???	ja	Yes	Public Sector				1
2040	??	ja	No					
2041	?????	ja	Yes	School Teacher	Education DM	Education	Senior	1
2042	??	ja	No					
2043	?????	ja	Yes	Advertising Specialist	Marketing User	Marketing	Entry	1
2044	??	ja	Yes	Public Relations Specialist	Media and Communication User	Media and Communication	Entry	1
2045	?? TCR	ja	Yes	Public Relations Specialist	Media and Communication User	Media and Communication	Entry	1
2046	????????	ja	Yes	Public Relations Manager	Media and Communication DM	Media and Communication	Manager	1
2047	????	ja	Yes	Public Relations Specialist	Media and Communication User	Media and Communication	Entry	1
2048	???? ?????????	ja	Yes	Public Relations Specialist	Media and Communication User	Media and Communication	Entry	1
2049	???	ja	Yes	Public Relations Specialist				1
2050	??? SE	ja	Yes	Public Relations Specialist				1
2051	????? ????????	ja	Yes	Information Technology Manager	Information Technology DM	Information Technology	Manager	0.85
