Lead ID,jobtitle
1,CTO兼部長
2,CTO室 エンジニアリングマネージャー
3,CTO室 シニアアーキテクト
4,CTO室 室長
5,CUSTOMER SUCCESS コンサルタント
6,CUSTOMERサービス
7,CV開発
8,CXLABセンター長
9,CXコンサルティング部門
10,CXセールススペシャリスト
11,CXデザインタスクフォース
12,CX推進
13,CX推進本部
14,CX推進部
15,CX本部 その他
16,D365FOパートナー SE
17,D365FO社内トレーニング 担当
18,DATA PLATFORM事業部 マネージャー
19,DATA＆AI リーダー
20,DATA&AIグループリーダー
21,DBエンジニア
22,DB構築
23,DC施設技術部 部長
24,DEI推進
25,ＤＥＰＵＴＹ　ＤＩＲＥＣＴＯＲ　Ｘイノベーション本部
26,DEV (研究開発部)
27,DEV エンジニア
28,DEVOPS エンジニア
29,DEVOPSエンジニア
30,DEVOPS推進部
31,DEシニアマネージャー
32,DFM部MEIグループ
33,"DIA統括部, エキスパートエンジニア"
34,DISM コマンドの実施のため
35,DI本部 部長
36,DI部 その他
37,DI部 課長
38,ＤＯ会計アシスタントＭ
39,DP技推 一般社員・職員
40,DSPU 一般社員・職員
41,DS事業部 一般社員・職員
42,DT2BU エンジニア
43,DTPオペレータ
44,DTSS 課長クラス
45,DWH/BI領域の開発・運用保守
46,DWH・BI基盤係
47,DX ディベロッパー
48,DX プラットフォーム部　マネジャー
49,DX/GX推進
50,DX・メディアデザイン局ICTチーム
51,DX-IT本部 IT統括部
52,DXアドバイザー
53,DXアナリスト
54,DXエンジニア
55,DXコンサルタント
56,DXコンサルタント　TCR
57,DXコンサルティング
58,DXサービス推進本部 本部長
59,DXシステム担当
60,DXスペシャリスト
61,DXセキュリティ推進室長
62,DXソリューション 部長
63,DXソリューション事業本部 SYMPHONICT事業推進本部 先端技術開発グループ
64,DXソリューション営業本部 部長
65,DXタスクリーダー
66,DXチーム
67,DXツール推進
68,"DXテクノロジー本部 X-TECH DOTANK事業部 プロダクト開発チーム, エンジニア"
69,DXビジネス革新センタ長
70,DXマネージャー
71,DXユニット ITアーキテクト
72,DXリーダー
73,DX事業統括本部 MSソリューション部 インフラチーム
74,DX事業統括本部 ビジネステクノロジー事業本部 データインテリジェンス事業部
75,DX事業部
76,DX事業部 DXソリューション部 部長
77,DX人材教育企画
78,DX企画
79,DX企画グループ長
80,DX企画の推進
81,DX企画室　室長
82,DX企画担当
83,DX企画推進
84,DX企画推進部
85,DX企画管理部 マネージャー
86,DX企画課
87,DX企画部
88,DX企画部 全社変革推進グループ
89,DX企画部DXマネジメント室長
90,DX化業務の支援
91,DX営業
92,DX基盤事業本部
93,DX室 室長
94,DX戦略(業務委託)
95,ＤＸ戦略・企画
96,DX戦略室
97,DX戦略室 サブリーダー
98,DX戦略室長
99,DX戦略推進室
100,DX戦略本部
101,DX戦略本部 AAS DX推進部 部長
102,DX戦略本部　サイバーセキュリティ総括部長
103,DX戦略本部 デジタル戦略総括部 デジタルプロセス部 第一課基幹職
104,DX戦略検討メンバー
105,DX戦略課長
106,DX戦略部
107,DX戦略部長
108,DX技術推進担当
109,"director, 営業/ビジネス ディベロップメント"
110,DX担当 TCR
111,DX担当　TCR
112,DX担当者
113,DX推進
114,ＤＸ推進
115,DX推進 部長
116,DX推進エージェント
117,DX推進グループ
118,DX推進グループ長
119,DX推進コンサルタント/DXMO
120,DX推進スタッフ
121,DX推進センター
122,DX推進チーム
123,DX推進チーム　アドバイザー
124,DX推進リーダー
125,DX推進事業部
126,DX推進企画
127,DX推進室
128,ＤＸ推進室
129,DX推進室 DX推進グループ
130,DX推進室　主任
131,DX推進室 室長
132,DX推進室　室長
133,DX推進室　推進2課 一般社員
134,DX推進室サービスリード
135,DX推進室副室長
136,DX推進室室長
137,DX推進室長
138,DX推進専門官
139,DX推進局
140,DX推進局 ICTエンジニアリング部 主任
141,DX推進担当
142,DX推進担当部長
143,DX推進支援
144,DX推進本部
145,DX推進本部 DX横断企画室 エキスパート
146,DX推進本部 IT業務推進部
147,DX推進本部長
148,ＤＸ推進本部長
149,DX推進統括 取締役
150,DX推進者
151,DX推進課
152,DX推進部
153,ＤＸ推進部
154,DX推進部　
155,DX推進部 システム担当者
156,DX推進部　先進ITグループ長
157,DX推進部 部長
158,DX推進部 開発グループ
159,ＤＸ推進部システム開発統制 副調査役
160,ＤＸ推進部チーフエンジニア
161,DX推進部長
162,DX推進部長 兼 DX推進部 DXグループ　グループリーダー
163,DX推進部長 兼 IT統括部主席部員
164,DX支援（派遣社員）
165,DX本部
166,DX本部 IT事業部
167,DX本部　アーキテクト
168,DX業務
169,DX経営戦略部
170,DX統括課
171,DX統括部　課長補佐
172,DX責任者
173,DX部
174,DX部門
175,DX開発
176,DX関連
177,E&M第二事業統括部スマート保全推進グループ なし
178,EB DXソリューション２部
179,EC 通販ｼｽﾃﾑ担当 ﾏﾈｰｼﾞｬｰ
180,ECBU クラウドIOT カンパニー エッジクラウドソリューション部 セールス2グループ グループリーダー
181,ECBU クラウドIOT カンパニー エッジクラウドソリューション部 セールスグループ 部長代理
182,ECM部 エンジニアリングシステム4課
183,ＥＣサイト管理者
184,ECサイト運営
185,ECシステムエンジニアリング部門 EC開発-C グループ長
186,EC事業課 責任者
187,ＥＣ事業部システムチーム 課長
188,EC担当
189,EC推進部
190,EC運営
191,EC運営事務局
192,"EP事業ユニットシステム開発部, 副主査"
193,ERP シニアマネージャー
194,ERP 開発者
195,ERPソリューションユニット アソシエイトマネージャー
196,ERPソリューション事業部ERP営業部
197,ES1 マネージャー
198,ESG推進
199,ESG推進室
200,"ES事業部共通システムグループ, シニアチーフ"
201,EXPERT / エキスパート
202,EXPERT ENGINEER(エキスパートエンジニア)
203,EXPERT STAFF(エキスパートスタッフ)
204,EX推進部
205,Eコマーススペシャリスト
206,Ｅコマース推進部
207,Eコマース推進部 WEB管理グループ 次長
208,E-ビジネスサービスカンパニー DX事業部 事業部長
209,FAシステム事業本部
210,FAシステム事業本部 FAデジタルエンジニアリング推進部 デジタルマニュファクチャリングソリューションセンター アプリケーション開発グループ
211,ＦＡ推進室長
212,FBSC CC部基幹システム系業務主管担当
213,FBデータシステム事業部
214,FE/BE マネージャー
215,FITSPLUS WEBエンジニア
216,FLUCT 開発部
217,FMソリューション部
218,FORXAI事業統括部 AI技術開発部 第1グループ アシスタントマネジャー
219,GIGA STUDX推進チーム
220,IT 運用サービス
221,IT 部長（旧： IT 部アプリケーショングループ長）
222,IT 開発担当責任者
223,IT 開発者
224,IT＆DX担当
225,IT＆ソリューション部  情報システムセンター　ビジネスアプリケーション室 アプリケーション開発グループ
226,ＩＴ＆デジタル革新推進部
227,IT＆デジタル革新推進部 係長・主任クラス
228,"IT, マネージャー"
229,IT、DX推進
230,IT、デジタル全て
231,IT/IS部コーポレートエンジニア
232,IT/インフラ担当 (情報基盤、IT基盤)
233,IT/インフラ担当 (情報基盤、IT基盤)_TCR
234,IT/システム担当TCR
235,IT・DX推進室 副部長
236,IT・システム企画部
237,IT・システム部 部長
238,IT・デジタル
239,IT・企画
240,"IT・通信, 情報処理業"
241,IT1エンジニア
242,IT-AI 推進室
243,ITCLOUD運用エンジニア
244,ITC担当
245,ITI DIV 本部長
246,ITMS本部ITソリューション事業部総合技術部クラウドサービス課
247,ITOC事業部 MBS部 課長クラス
248,ITOC事業部 一般社員・職員
249,ITOC事業部 課長クラス
250,IT-OTイノベーション本部
251,ITS 主査
252,ITS推進室 室長
253,ITS第二グループ チーフ
254,ITアーキテクト
255,ＩＴアーキテクト
256,ITアーキテクト、プロジェクトマネージャ
257,ITアーキテクト・エキスパート
258,ITアーキテクト・セキュリティエンジニア
259,ITアーキテクト部 一般社員・職員
260,ITアークテクト
261,ITアカウント
262,ITアドバイザ
263,ITアドバイザー
264,ITアドミニストレータ
265,ITアナリスト
266,ITインストラクター
267,ITインテグレーション部
268,ITインテグレーション部企画課 マネージャー
269,ITインフラ
270,ITインフラ・トランジション担当 参事
271,ITインフラG
272,ITインフラアーキテクト (インフラ設計者)
273,ITインフラエンジニア
274,ITインフラサービス一部 一般社員・職員
275,ITインフラサポート
276,ITインフラストラクチャ・スペシャリスト
277,ITインフラスペシャリスト
278,ＩＴインフラセキュリティサポート本部 部長クラス
279,ITインフラマネージャ
280,ITインフラ保守
