Lead ID	Job Title	Language	Valid JT	Job Role	Marketing Audience	Function	Seniority	Confidence Score
1	CTO兼部長	ja	Yes	Architect				1
2	CTO室 エンジニアリングマネージャー	ja	Yes	Engineering Manager	Engineering DM	Engineering	Manager	1
3	CTO室 シニアアーキテクト	ja	Yes	Architect				0.96
4	CTO室 室長	ja	Yes	Information Technology Manager				1
5	CUSTOMER SUCCESS コンサルタント	ja	Yes	Customer Service Specialist	Customer Service and Support User	Customer Service and Support	Entry	1
6	CUSTOMERサービス	ja	Yes	Service Support Specialist				1
7	CV開発	ja	Yes	Administrative Employee				1
8	CXLABセンター長	ja	Yes	Director General				1
9	CXコンサルティング部門	ja	Yes	Information Technology Consultant				1
10	CXセールススペシャリスト	ja	Yes	Sales Specialist	Sales User	Sales	Entry	1
11	CXデザインタスクフォース	ja	Yes	Engineer				1
12	CX推進	ja	Yes	Sales Manager				1
13	CX推進本部	ja	Yes	Accountant				1
14	CX推進部	ja	Yes	Information Technology Generalist				0.93
15	CX本部 その他	ja	Yes	Customer Service Specialist	Customer Service and Support User	Customer Service and Support	Entry	1
16	D365FOパートナー SE	ja	Yes	Software Engineer				1
17	D365FO社内トレーニング 担当	ja	Yes	Manager of Artificial Intelligence				1
18	DATA PLATFORM事業部 マネージャー	ja	Yes	Database Engineer				1
19	DATA＆AI リーダー	ja	Yes	Director of Artificial Intelligence	Data Professional DM	Data Professional	Director	0.85
20	DATA&AIグループリーダー	ja	Yes	Manager of Artificial Intelligence	Data Professional DM	Data Professional	Manager	0.98
21	DBエンジニア	ja	Yes	Database Engineer	Data Professional User	Data Professional	Entry	1
22	DB構築	ja	Yes	Database Developer	Developer User	Developer	Entry	1
23	DC施設技術部 部長	ja	Yes	Engineering Manager	Engineering DM	Engineering	Manager	1
24	DEI推進	ja	No					
25	ＤＥＰＵＴＹ　ＤＩＲＥＣＴＯＲ　Ｘイノベーション本部	ja	Yes	Devops Engineer				0.96
26	DEV (研究開発部)	ja	Yes	Devops Engineer				0.93
27	DEV エンジニア	ja	Yes	Devops Specialist				1
28	DEVOPS エンジニア	ja	Yes	Devops Engineer	Engineering User	Engineering	Entry	1
29	DEVOPSエンジニア	ja	Yes	Devops Engineer	Engineering User	Engineering	Entry	1
30	DEVOPS推進部	zh-Hans	Yes	Devops Specialist	Engineering User	Engineering	Entry	1
31	DEシニアマネージャー	ja	Yes	Information Technology Manager				1
32	DFM部MEIグループ	ja	No					
33	"DIA統括部, エキスパートエンジニア"	ja	Yes	Engineer				0.95
34	DISM コマンドの実施のため	ja	No					
35	DI本部 部長	ja	Yes	Information Technology Manager				1
36	DI部 その他	ja	No					
37	DI部 課長	ja	Yes	Information Technology Manager				1
38	ＤＯ会計アシスタントＭ	ja	Yes	Accounts Payable Clerk	Accounting and Finance User	Accounting and Finance	Entry	0.85
39	DP技推 一般社員・職員	ja	Yes	Engineer				0.97
40	DSPU 一般社員・職員	ja	Yes	Operations Specialist				1
41	DS事業部 一般社員・職員	ja	Yes	Administrative Employee				1
42	DT2BU エンジニア	ja	Yes	Engineer				1
43	DTPオペレータ	ja	Yes	Administrative Employee				1
44	DTSS 課長クラス	ja	Yes	Director Information Technology Security	Information Technology DM	Information Technology	Director	0.7
45	DWH/BI領域の開発・運用保守	ja	Yes	Information Technology Generalist				1
46	DWH・BI基盤係	ja	Yes	Information Technology Generalist				1
47	DX ディベロッパー	ja	Yes	Developer				1
48	DX プラットフォーム部　マネジャー	ja	Yes	Information Technology Generalist				1
49	DX/GX推進	ja	Yes	Business Analyst				1
50	DX・メディアデザイン局ICTチーム	ja	Yes	Engineer				1
51	DX-IT本部 IT統括部	zh-Hans	Yes	Information Technology Manager	Information Technology DM	Information Technology	Manager	0.7
52	DXアドバイザー	ja	Yes	Information Technology Generalist				1
53	DXアナリスト	ja	Yes	Business Analyst				1
54	DXエンジニア	ja	Yes	Engineer				1
55	DXコンサルタント	ja	Yes	Information Technology Generalist				1
56	DXコンサルタント　TCR	ja	Yes	Information Technology Generalist				1
57	DXコンサルティング	ja	Yes	Information Technology Generalist				1
58	DXサービス推進本部 本部長	ja	Yes	Information Technology Manager				1
59	DXシステム担当	ja	Yes	System Administrator				1
60	DXスペシャリスト	ja	Yes	Information Technology Generalist				1
61	DXセキュリティ推進室長	ja	Yes	Information Technology Manager				1
62	DXソリューション 部長	ja	Yes	Information Technology Manager				1
63	DXソリューション事業本部 SYMPHONICT事業推進本部 先端技術開発グループ	ja	Yes	Vice President of Digital Transformation	Business Development DM	Business Development	VP	0.7
64	DXソリューション営業本部 部長	ja	Yes	Sales Manager	Sales DM	Sales	Manager	1
65	DXタスクリーダー	ja	Yes	Information Technology Manager				1
66	DXチーム	ja	Yes	Information Technology Generalist				1
67	DXツール推進	ja	No					
68	"DXテクノロジー本部 X-TECH DOTANK事業部 プロダクト開発チーム, エンジニア"	ja	Yes	Product Development Engineer	Engineering User	Engineering	Entry	0.9
69	DXビジネス革新センタ長	ja	Yes	Information Technology Manager				1
70	DXマネージャー	ja	Yes	Digital Manager	Media and Communication DM	Media and Communication	Manager	1
71	DXユニット ITアーキテクト	ja	Yes	Information Technology Generalist				1
72	DXリーダー	ja	Yes	Digital Manager	Media and Communication DM	Media and Communication	Manager	1
73	DX事業統括本部 MSソリューション部 インフラチーム	ja	Yes	Infrastructure Engineer				1
74	DX事業統括本部 ビジネステクノロジー事業本部 データインテリジェンス事業部	ja	Yes	Data Specialist				0.95
75	DX事業部	ja	No					
76	DX事業部 DXソリューション部 部長	ja	Yes	Information Technology Manager				1
77	DX人材教育企画	ja	Yes	Human Resources Specialist				0.96
78	DX企画	ja	Yes	Information Technology Generalist				1
79	DX企画グループ長	ja	Yes	Information Technology Manager				1
80	DX企画の推進	ja	Yes	Information Technology Generalist				1
81	DX企画室　室長	ja	Yes	Information Technology Manager				1
82	DX企画担当	ja	Yes	Information Technology Generalist				1
83	DX企画推進	ja	Yes	Information Technology Generalist				1
84	DX企画推進部	ja	Yes	Information Technology Generalist				1
85	DX企画管理部 マネージャー	ja	Yes	Planning Manager				1
86	DX企画課	ja	Yes	Information Technology Generalist				1
87	DX企画部	ja	Yes	Information Technology Generalist				1
88	DX企画部 全社変革推進グループ	ja	Yes	Information Technology Generalist				1
89	DX企画部DXマネジメント室長	ja	Yes	Information Technology Manager				1
90	DX化業務の支援	ja	Yes	Information Technology Generalist				1
91	DX営業	ja	Yes	Sales Specialist				1
92	DX基盤事業本部	ja	Yes	Information Technology Generalist				1
93	DX室 室長	ja	Yes	Office Manager				1
94	DX戦略(業務委託)	ja	Yes	Business Strategist				1
95	ＤＸ戦略・企画	ja	Yes	Information Technology Generalist				1
96	DX戦略室	ja	Yes	Business Strategist				1
97	DX戦略室 サブリーダー	ja	Yes	Business Strategist				1
98	DX戦略室長	ja	Yes	Information Technology Manager				1
99	DX戦略推進室	ja	Yes	Information Technology Generalist				1
100	DX戦略本部	ja	Yes	Business Strategist				1
101	DX戦略本部 AAS DX推進部 部長	ja	Yes	Information Technology Manager				0.97
102	DX戦略本部　サイバーセキュリティ総括部長	ja	Yes	Cyber Security Manager	Security DM	Security	Manager	1
103	DX戦略本部 デジタル戦略総括部 デジタルプロセス部 第一課基幹職	ja	Yes	No suitable match found				0
104	DX戦略検討メンバー	ja	Yes	Business Strategist				1
105	DX戦略課長	ja	Yes	Planning Manager				1
106	DX戦略部	ja	Yes	Business Strategist				1
107	DX戦略部長	ja	Yes	Information Technology Manager				1
