job_title,matched_standard_role
CTO & General Manager,Architect
"Engineering Manager, CTO Office",Engineering Manager
"CTO Office, Senior Architect",Architect
"General Manager, CTO Office",Information Technology Manager
CUSTOMER SUCCESS CONSULTANT,Customer Service Specialist
CUSTOMER SERVICE,Customer Service Specialist
CV Development,Administrative Employee
CXLAB Center Director,Director General
CX Consulting,Information Technology Consultant
CX Sales Specialist,Sales Specialist
CX Design Task Force,Engineer
CX Promotion,Sales Manager
CX Promotion Division,Accountant
CX Promotion Dept.,Information Technology Generalist
CX Division Others,Customer Service Specialist
D365FO Partner SE,Software Engineer
D365FO In-house Training,Manager of Artificial Intelligence
DATA PLATFORM DIVISION MANAGER,Database Engineer
DATA&AI LEADER,Database Engineer
DATA &AI Group Leader,Manager of Artificial Intelligence
DB Engineer,Database Engineer
DB construction,Database Developer
"General Manager, DC Facilities Engineering Department",Engineering Manager
Promoting DEI,Diversity and Inclusion Manager
DEPUTY DIRECTOR X INNOVATION DIVISION,Devops Engineer
DEV (Research & Development Department),Devops Engineer
DEV Engineer,Devops Specialist
DEVOPS ENGINEER,Devops Engineer
DEVOPS ENGINEER,Devops Engineer
DEVOPS PROMOTION DEPARTMENT,Devops Specialist
DE Senior Manager,Information Technology Manager
DFM Department MEI Group,Information Technology Generalist
"DIA Management Department, Expert Engineer",Engineer
For the execution of DISM commands,Information Technology Generalist
"General Manager, DI Division",Information Technology Manager
"DI Department, Others",Data Specialist
"Manager, DI Department",Information Technology Manager
DO Accounting Assistant M,Accountant
DP Technical Recommendation General Employees and Staff,Engineer
DSPU General Employees,Operations Specialist
DS Division General Employees and Staff,Administrative Employee
DT2BU Engineer,Engineer
DTP Operator,Administrative Employee
DTSS Section Manager Class,Administration Manager
"Development, operation and maintenance of DWH/BI",Information Technology Generalist
DWH/BI Infrastructure Section,Information Technology Generalist
DX Developer,Developer
"Manager, DX Platform Department",Information Technology Generalist
DX/GX Promotion,Business Analyst
DX & Media Design Bureau ICT Team,Engineer
DX-IT Headquarters IT Integration Department,Information Technology Generalist
DX Advisors,Information Technology Generalist
DX Analyst,Business Analyst
DX Engineer,Engineer
DX Consultant,Information Technology Generalist
DX Consultant TCR,Information Technology Generalist
DX Consulting,Information Technology Generalist
"General Manager, DX Service Promotion Division",Information Technology Manager
In charge of DX system,System Administrator
DX Specialist,Information Technology Generalist
"General Manager, DX Security Promotion Office",Information Technology Manager
"General Manager, DX Solutions",Information Technology Manager
"DX Solutions Business Headquarters, SYMPHONICT Business Promotion Division, Advanced Technology Development Group",Developer
"General Manager, DX Solution Sales Division",Sales Manager
DX Task Leader,Information Technology Manager
DX Team,Information Technology Generalist
Promotion of DX tools,Information Technology Generalist
"DX Technology Division, X-TECH DOTANK Division, Product Development Team, Engineer",Engineer
Head of DX Business Innovation Center,Information Technology Manager
DX Manager,Digital Manager
DX Unit IT Architect,Information Technology Generalist
DX Leader,Digital Manager
"DX Business Headquarters, MS Solution Department, Infrastructure Team",Infrastructure Engineer
"DX Business Headquarters, Business Technology Business Division, Data Intelligence Division",Data Specialist
DX Division,Information Technology Generalist
"General Manager, DX Solution Department, DX Division",Information Technology Manager
DX Human Resource Training Planning,Human Resources Specialist
DX Planning,Information Technology Generalist
Head of DX Planning Group,Information Technology Manager
Promotion of DX projects,Information Technology Generalist
"General Manager, DX Planning Office",Information Technology Manager
DX Planning Officer,Information Technology Generalist
DX planning and promotion,Information Technology Generalist
DX Planning & Promotion Department,Information Technology Generalist
