job title,job role
CTO兼部長,Architect
CTO室 エンジニアリングマネージャー,Engineering Manager
CTO室 シニアアーキテクト,Architect
CTO室 室長,Information Technology Manager
CUSTOMER SUCCESS コンサルタント,Customer Service Specialist
CUSTOMERサービス,Customer Service Specialist
CV開発,Administrative Employee
CXLABセンター長,Director General
CXコンサルティング部門,Information Technology Consultant
CXセールススペシャリスト,Sales Specialist
CXデザインタスクフォース,Engineer
CX推進,Sales Manager
CX推進本部,Accountant
CX推進部,Information Technology Generalist
CX本部 その他,Customer Service Specialist
D365FOパートナー SE,Software Engineer
D365FO社内トレーニング 担当,Manager of Artificial Intelligence
DATA PLATFORM事業部 マネージャー,Database Engineer
DATA＆AI リーダー,Database Engineer
DATA&AIグループリーダー,Manager of Artificial Intelligence
DBエンジニア,Database Engineer
DB構築,Database Developer
DC施設技術部 部長,Engineering Manager
DEI推進,Diversity and Inclusion Manager
ＤＥＰＵＴＹ　ＤＩＲＥＣＴＯＲ　Ｘイノベーション本部,Devops Engineer
DEV (研究開発部),Devops Engineer
DEV エンジニア,Devops Specialist
DEVOPS エンジニア,Devops Engineer
DEVOPSエンジニア,Devops Engineer
DEVOPS推進部,Devops Specialist
DEシニアマネージャー,Information Technology Manager
DFM部MEIグループ,Information Technology Generalist
"DIA統括部, エキスパートエンジニア",Engineer
DISM コマンドの実施のため,Information Technology Generalist
DI本部 部長,Information Technology Manager
DI部 その他,Data Specialist
DI部 課長,Information Technology Manager
ＤＯ会計アシスタントＭ,Accountant
DP技推 一般社員・職員,Engineer
DSPU 一般社員・職員,Operations Specialist
DS事業部 一般社員・職員,Administrative Employee
DT2BU エンジニア,Engineer
DTPオペレータ,Administrative Employee
DTSS 課長クラス,Administration Manager
DWH/BI領域の開発・運用保守,Information Technology Generalist
DWH・BI基盤係,Information Technology Generalist
DX ディベロッパー,Developer
DX プラットフォーム部　マネジャー,Information Technology Generalist
DX/GX推進,Business Analyst
DX・メディアデザイン局ICTチーム,Engineer
DX-IT本部 IT統括部,Information Technology Generalist
DXアドバイザー,Information Technology Generalist
DXアナリスト,Business Analyst
DXエンジニア,Engineer
DXコンサルタント,Information Technology Generalist
