Lead ID,Job Title,Language,Valid JT,Job Role,Marketing Audience,Function,Seniority,Confidence Score
47, -,en,No,,,,,
53,部長代理,ja,No,,,,,
84,567890,en,No,,,,,
85,????????????,en,No,,,,,
83,AWSDVG,en,No,,,,,
82,##%#tgr,en,No,,,,,
81,earwgtrqweg,en,No,,,,,
87,3456789,en,No,,,,,
88,$%*)$@,en,No,,,,,
89,??????,en,No,,,,,
86,&%#&^^,en,No,,,,,
90,<>><$#%RGF,en,No,,,,,
91,😊😂😂🤣🤣🤣🤣🤣,en,No,,,,,
92,�💕🎶😉😉,en,No,,,,,
94,🎶🎶👌🤷‍♀️,en,No,,,,,
95,�😒,en,No,,,,,
93,34567,en,No,,,,,
97,🎶💕🤦‍♀️😖,en,No,,,,,
98,👌,en,No,,,,,
96,😂🤷‍♀️👌😍😘,en,No,,,,,
99,''''''''''',en,No,,,,,
100,%^&*H,fr,No,,,,,
