Lead ID,jobtitle
1,　なし
2,　部長
3,　営業部
4,( 主任技師
5,"""マネージャー 電気通信主任技術者（伝送交換）"
6,(一般社員)
7,（一般社員）
8,（なし）
9,（リーダー）
10,(なし)
11,(個人)
12,(主査)
13,(室長)
14,(営業)
15,（個人としての参加、MICROSOFT MVP）
16,（無職）
17,（担当）
18,（派遣）
19,（派遣社員）
20,(専務)
21,（退職）
22,(退職）
23,(課長)
24,（課長クラス）
25,（職能グループ）　サステナビリティ推進部　環境・社会ソリューション課
26,.医師
27,.DX戦略本部 デジタル戦略総括部 デジタルプロセス部 第一課
28,？ 准教授
29,[14000] 課長
30,",教授"
31,[正社員] (ｺｱｽﾀｯﾌ)
32,[4008] 営業所長
33,^無職
34,[5000] 課長
35,[派遣社員]
36,○
37,00.社員
38,_課長
39,00566(課長)
40,【個人事業主】
41,101 室長
42,102 統轄次長
43,0648 (IBM JAPAN DIGITAL SERVICES COMPANY 日本アイ・ビー・エム　デジタルサービス㈱)
44,00755(所長)
45,00973(所長)
46,2年9ヶ月
47,２課長
48,2WAYリースマーケティング/マーケティングデザイナー
49,1課長
50,120 次長
51,365担当
52,365担当TCR
53,313 センター長
54,350 マネジャー
55,320 次長
56,3Dデータ活用
57,3D住宅CADプロジェクト
58,46.研究・開発
59,3Dアーティスト/アニメーター
60,３PLアドバイザー
61,5070教諭
62,47.システム管理・保守
63,４グループリーダー
64,50.情報処理・オペレーション
65,48.エンジニア・設計・デザイン・クリ工イティブ
66,ADAS向けプラットフォームソフトウェア開発
67,579:部長
68,6000係長
69,ACコンサルタント
70,AC開発部 AC開発G
71,AI DX推進部
72,AI AND DATAディレクター
73,AI IN ID-POS協働研究フォーラム事務局長
74,"AI SOLUTION 事業本部, ソフトウェアエンジニア"
75,"AI FRONTIER 部, グループリーダー"
76,AI/LLM事業部
77,AI オペレーション室
78,AI/MLエンジニア
79,AI 開発責任者
80,AI 電話事業部開発マネージャー
81,AIコンサルタント
82,AIスペシャリスト
83,AIエンジニア
84,AIシニアエンジニア
85,AIコンサル
86,AIソリューション営業
87,AI戦略事業本部
88,AI導入推進
89,AIプロモーション＆SALES
90,AI戦略事業本部 研究・開発 ディベロップメントユニット
91,AIロボット工学科長
92,AI活用
93,AI推進担当
94,AI戦略室
95,AI活用リサーチャー
96,AI研究所調査員
97,ALMソリューション部
98,AI開発部 一般社員・職員
99,AI開発
100,AMSソリューションエンジニア
101,ALIBABA CLOUD ソリューションアーキテクト
102,AP開発
103,ANDROID研究開発グループ
104,ANSBU 係長・主任クラス
105,AP開発、PM
106,APPLICATIONS ENGINEER  グローバル情報技術戦略オフィス グローバルアーキテクチャー課 情報ツール開発グループ
107,AZUREエンジニア
108,AZURE コンサルタント
109,AZURE エンジニア
110,AWSオペレーター
111,"AP開発1課, 課長"
112,AZURE推進
113,AZURE事業部
114,AZURE導入担当
115,AZUREサポートエンジニア
116,AZUREを使用したサーバー構築や管理
117,AZURE環境担当
118,B2Bマーケティング
119,BASISコンサルタント
120,BIGDATA その他
121,AZURE管理者
122,BIMディレクター
123,BIMオペレーター
124,BIMコンサルタント
125,BIM/CIM担当課長
126,BIMオペレーター／事務
127,BIM関連の教育
128,BI開発者
129,BI開発
130,BIエンジニア
131,BIコンサルタント
132,BPOソリューション部
133,BPOS統括事業開発室
134,BPOコンサルティング
135,BPOサービスマネージャ
136,BLUSTELLARセールス統括部 シニアプロフェッショナル
137,BPR推進部
138,BPO案件の環境構築
139,BPOマネージャ
140,BSリスクマネジメントユニット 専門部長
141,ＢＰＯ第一部 部長
142,CADエンジニア
143,BS統括部データサービス課課長
144,BUSINESS ADVISORY SERIESコンサルタント
145,BT本部 DX推進室長
146,BUSINESS IMPROVEMENT グループ マネージャー
147,CADシステムエンジニア
148,CADオペ
149,CADオペレーター
150,CADオペレータ
151,CADシステム運用サポート
152,CAD事業部
153,CADデータと画像処理技術を融合したサービスの提供
154,CAD事業
155,CAD事業 3D住宅CADプロジェクト
156,CAD運用サポート
157,CAEソリューション部
158,CAEエンジニア
159,CAE担当
160,CAEコンサルタント
161,CAD開発
162,CCOE担当
163,CATV総合監理技術者
164,CBTテストセンターオペレーター
165,CCOEグループ リーダー
166,CCOE担当部長
167,ＣＦＯ
168,CCデジタル企画室長
169,ＣＥＯ
170,CDO補佐官
171,CDIO室 ソフトウェアエンジニア
172,CG 一般社員・職員
173,CGシステム部 部長
174,CFO兼経営管理本部長
175,CFO／財務担当役員
176,"CHIEF OFFICER, マーケティング"
177,CIOユニット　CIOグループ　IT企画部
178,CIO、センター長
179,"CHIEF OFFICER, 営業/ビジネス ディベロップメント"
180,CIO/アーキテクト
181,CHRO／人事担当役員
182,CI事業部企画開発部
183,CISO統括オフィス
184,CIO補佐官
185,CLOUD COE/ITアーキテクト
186,CISM その他
187,CMC開発部
188,COO 執行役員
189,CMC薬事部
190,ＣＲＭ
191,CLOUD 一般社員・職員
192,CS 一般社員・職員
193,CRM開発室/室長
194,CSDX推進部付 部長 (兼) リスク統括部付 部長
195,CRM テクニカルサポート
196,CRMｿﾘｭｰｼｮﾝ営業部 部長 兼 CRMｿﾘｭｰｼｮﾝ営業課 課長
197,CSR室
198,CSR関連
199,CSR担当
200,CSIRT統括課長 兼 CSIRT統括課長 担当部長
201,CSIRT統括課長 副部長
202,CS本部板鍛サービス営業部
203,CS事業部
204,CS企画本部 サービス企画部
205,CSディレクタ
206,CS第二開発統括 システム基盤部 ネットワーク開発室 室長
207,CS部
208,CS調査センター
209,CTO CMO 執行役員 アルゴサイエンス事業部 事業部長
210,CTCシステムマネジメント
211,CTO （最高技術責任者） TCR
212,CTO 技術理事
213,CTO兼部長
214,CTO 兼) 副社長
215,CTO/取締役　TCR
216,CTO CSO エバンジェリスト OKINAWA INNOVATION LAB長
217,CTO室 シニアアーキテクト
218,CUSTOMERサービス
219,CTO室 エンジニアリングマネージャー
220,CUSTOMER SUCCESS コンサルタント
221,CTO室 室長
222,CXデザインタスクフォース
223,CXLABセンター長
224,CXコンサルティング部門
225,CXセールススペシャリスト
226,CV開発
227,CX推進
228,CX推進部
229,CX本部 その他
230,D365FOパートナー SE
231,CX推進本部
232,D365FO社内トレーニング 担当
233,DBエンジニア
234,DATA＆AI リーダー
235,DATA&AIグループリーダー
236,DATA PLATFORM事業部 マネージャー
237,DEI推進
238,DB構築
239,DEV (研究開発部)
