Lead ID,jobtitle,LS Title,LS Company,LS Lead Job Functions,LS Company Industry,LS Lead Department
1,Senior manager,Senior Cyber Security analyst,Sony Group Corporation,Security Analysis; Cyber Security; Information Security; Security Management; Network Security; Incident Management,Telecommunications,Information Technology
2,"Owner, Marketing/Sales",Supervisor & Trade Lane Manager of EMEA,Hankyu Hanshin Express,,Transportation & Storage,
3,"Manager, Information Technology",Leader,MISUMI Group Inc.,Systems Management; Retail; Requirements Management; Art; Software Development; Technology & Innovation; Information Technology and Services; Logistics,Manufacturing,Management
4,"Individual Contributor/Staff, Marketing/Sales",Sales Specialist,JTB,Media Marketing; Social Media; Digital Marketing; Social Media Marketing,"Travel, Recreation, and Leisure",Sales
5,"Manager, Accounting and Finance","Manager, Finance Transformation","amkor technology, inc.",Business Strategy; Loans; Financial Reporting; Customer Service; Strategy Development; Accounting; Budget Management; IT Process Management; Process Improvement; Investment Management; Corporate Development; Software Development; Investments; Digital Technology; Outreach; Financial Management; Change Management; Business Process Management; Financial Analysis; Financial Services; Banking; Revenue Management; Capital Management; Training and Development; Reporting; Program Management; Project Management; Data Analysis; Business Continuity,Energy & Utilities,Finance
6,"Manager, Data/Business Intelligence",Engineering Manager of Data Engineering team at Data Platform dept.,LINE Corp,Engineering; Data Engineering,Software & Internet,Information Technology
7,Supervisor de operaciones,Autónomo,Komatsu,Traffic Management; Social Media; Network Management; Product; Email Marketing; Customer Loyalty; Digital Marketing; B2B Sales; Social Media Marketing; Branding; Loyalty Marketing; B2B Marketing; Design; B2B; Customer Experience; Brand Management; Advertising; Telemarketing; Principal; Web Management; CRM,Manufacturing,
8,Professor,Professor,秋田県立大学,education,Diversified Consumer Services,
9,"Manager, Marketing/Sales","Senior Manager, Sales","Nissha Co., Ltd.",,Computers & Electronics,Sales
10,Aplication Engineer,Aplication Engineer,Yamaha,engineering,Consumer Discretionary,
11,"Manager, Information Technology",Regional Marketing Manager,Terumo Asia Pacific,,Manufacturing,Marketing
12,"Director, Data/Business Intelligence",Head of Retail DX Lab. / Data Scientist,株式会社サイバーエージェント [CyberAgent],,Software & Services,Sales
13,Field Marketing Manager,Senior,Hitachi,,Computers & Electronics,
14,"Manager, Operations",???? / Executive Officer,Zozo Inc,Business Intelligence; Software Development,Retail,
15,Data Analyst,Data Analyst,BrainPad Inc.,Data Analysis,Software & Internet,Information Technology
16,Creative Director,Creative Director,ADK (WPP Company),Creative Direction; Creative; Creative Services,Business Services,Marketing
17,"Individual Contributor/Staff, Solutions/Systems Architect",Systems architect,ASICS America Corporation,Systems Management; Systems Architecture & Development; Civil Engineering; Development & Architecture,Retail,Information Technology
18,"Manager, Finance","GM, Finance",スカパーＪＳＡＴ（株）,General Manager; Business Strategy; Customer Service; Strategy Development; Budget Management; Research,Business Services,Management
