Lead ID,jobtitle,LS Title,LS Company,LS Lead Job Functions,LS Company Industry,LS Lead Department
1,デジタル部門,,,,,
2,ビジネスデベロップメント,,,,,
3,プランニング,,,,,
4,マーケティング企画,,,,,
5,マネージドse,,,,,
6,マネジャー代理,,,,,
7,ミドルitサービスエンジニア,,,,,
8,メディア,,,,,
9,メディカル事業部,,,,,
10,リーシング,,,,,
11,リコージャパン,,,,,
12,リスクマネジメント部,,,,,
13,上席幹部,,,,,
14,不動産管理業,,,,,
15,主任ｉｔスペシャリスト,,,,,
16,主席技術調査役,,,,,
17,九州支社,,,,,
18,事業企画担当,,,,,
19,事業企画担当部長,,,,,
20,事業所責任者,,,,,
21,事業支援,,,,,
22,事業部長・部長クラス,,,,,
23,人事教育センター,,,,,
24,企画戦略,,,,,
25,保険営業,,,,,
26,働き方改革,,,,,
27,労務部長,,,,,
28,医療情報システム室,,,,,
29,原価企画,,,,,
30,取締役　本部長,,,,,
31,品質監査,,,,,
32,商品企画・開発,,,,,
33,営業局,,,,,
34,営業支援部,,,,,
35,国際事業本部,,,,,
36,基盤エンジニア,,,,,
37,基盤系システム担当係長,,,,,
38,大阪府,,,,,
39,専門部員,,,,,
40,局長代理,,,,,
41,工場管理,,,,,
42,広報・宣伝・マーケティング,,,,,
43,情報システム管理担当,,,,,
44,情報システム開発保守,,,,,
45,所長付,,,,,
46,技術推進,,,,,
47,担当主幹,,,,,
48,担当室長,,,,,
49,招聘研究員,,,,,
50,教育事業,,,,,
51,新規事業企画,,,,,
52,業務システム管理者,,,,,
53,業務改革推進室,,,,,
54,業務改革部,,,,,
55,次席技術員,,,,,
56,法務担当,,,,,
57,特命課長,,,,,
58,生産企画部,,,,,
59,生産性向上,,,,,
60,生産性向上エンジニア,,,,,
61,生産技術センター,,,,,
62,生産職,,,,,
63,生産計画,,,,,
64,生産課,,,,,
65,産業医,,,,,
66,監査員,,,,,
67,知財担当,,,,,
68,研究開発センター,,,,,
69,研究開発企画,,,,,
70,社内itサポート,,,,,
71,秘書部,,,,,
72,管理係,,,,,
73,経営・経営企画,,,,,
74,総務事務官,,,,,
75,総務企画,,,,,
76,総務局,,,,,
77,総務部総務グループ,,,,,
78,総合職社員,,,,,
79,総括研究主幹,,,,,
80,編集局,,,,,
81,製薬会社,,,,,
82,製造技術部,,,,,
83,計数管理,,,,,
84,計算センター,,,,,
85,設備担当課長,,,,,
86,設計本部,,,,,
87,調査分析,,,,,
88,資材・購買・調達,,,,,
89,資材調達部,,,,,
90,通信建設業,,,,,
91,運用保守エンジニア,,,,,
92,運用構築,,,,,
93,運転士,,,,,
94,部長付き,,,,,
95,鉄道,,,,,
96,銀行業務,,,,,
97,開発、保守,,,,,
98,開発・保守,,,,,
99,開発se,,,,,
100,開発営業,,,,,
