Lead ID,jobtitle,LS Title,LS Company,LS Lead Job Functions,LS Company Industry,LS Lead Department
1,CTO兼部長,1,1,1,1,1
2,CTO室 エンジニアリングマネージャー,1,1,1,1,1
3,CTO室 シニアアーキテクト,1,1,1,1,1
4,CTO室 室長,1,1,1,1,1
5,CUSTOMER SUCCESS コンサルタント,1,1,1,1,1
6,CUSTOMERサービス,1,1,1,1,1
7,CV開発,1,1,1,1,1
8,CXLABセンター長,1,1,1,1,1
9,CXコンサルティング部門,1,1,1,1,1
10,CXセールススペシャリスト,1,1,1,1,1
11,CXデザインタスクフォース,1,1,1,1,1
12,CX推進,1,1,1,1,1
13,CX推進本部,1,1,1,1,1
14,CX推進部,1,1,1,1,1
15,CX本部 その他,1,1,1,1,1
16,D365FOパートナー SE,1,1,1,1,1
17,D365FO社内トレーニング 担当,1,1,1,1,1
18,DATA PLATFORM事業部 マネージャー,1,1,1,1,1
