Lead ID,jobtitle
101,医療事務
102,看護師
103,医師
104,薬剤師
105,歯科医
106,臨床検査技師
107,理学療法士
108,作業療法士
109,救急救命士
110,医療技術者
111,研究員
112,生物学者
113,化学者
114,物理学者
115,天文学者
116,環境科学者
117,地質学者
118,数学者
119,統計学者
120,農業技術者
121,建築家
122,インテリアデザイナー
123,都市計画家
124,不動産エージェント
125,土地家屋調査士
126,建設マネージャー
127,現場監督
128,配管工
129,電気技師
130,溶接工
131,大工
132,塗装工
133,機械オペレーター
134,製造技術者
135,工場作業員
136,組立作業員
137,品質管理マネージャー
138,製品検査員
139,保守エンジニア
140,設備管理者
141,運転手
142,配送ドライバー
143,トラック運転手
144,バス運転手
145,タクシー運転手
146,航空機パイロット
147,航空管制官
148,客室乗務員
149,鉄道運転士
150,駅係員
151,船員
152,漁師
153,料理人
154,調理補助
155,ウェイター
156,バリスタ
157,ホテルスタッフ
158,フロント係
159,清掃員
160,警備員
161,警察官
162,消防士
163,自衛官
164,弁護士
165,検察官
166,裁判官
167,法務アシスタント
168,行政書士
169,税理士
170,社会保険労務士
171,通訳者
172,証券アナリスト
173,保険アドバイザー
174,投資銀行家
175,株式ブローカー
176,銀行員
177,ローンオフィサー
178,会計監査人
179,教育コンサルタント
180,家庭教師
181,学習支援員
182,幼稚園教諭
183,小学校教諭
184,中学校教諭
185,高校教諭
186,大学教授
187,講師
188,図書館司書
189,学芸員
190,アートディレクター
191,イラストレーター
192,映像作家
193,アニメーター
194,声優
195,演出家
196,舞台俳優
197,映画監督
198,音楽プロデューサー
199,作曲家
